Code,Category,OrgCode,Parent,Stage,ParentCategory
140,Closure/Premature Closure of account at Head Post Office,DPOST,97,4,Savings Bank (SB/RD/TD/MIS/SCSS/Others)
141,Closure/Premature Closure of account at Sub Post Office,DPOST,97,4,Savings Bank (SB/RD/TD/MIS/SCSS/Others)
142,Issue of Dublicate Passbook,DPOST,97,4,Savings Bank (SB/RD/TD/MIS/SCSS/Others)
143,Opening of account,DPOST,97,4,Savings Bank (SB/RD/TD/MIS/SCSS/Others)
144,Return of Passbook,DPOST,97,4,Savings Bank (SB/RD/TD/MIS/SCSS/Others)
145,Settlement of deceased claim case with nomination,DPOST,97,4,Savings Bank (SB/RD/TD/MIS/SCSS/Others)
146,Settlement of deceased claim case without nomination but with proof of,DPOST,97,4,Savings Bank (SB/RD/TD/MIS/SCSS/Others)
147,Transfer of account-Application given at PO where account stands,DPOST,97,4,Savings Bank (SB/RD/TD/MIS/SCSS/Others)
148,Transfer of account-Application given at Transferee PO,DPOST,97,4,Savings Bank (SB/RD/TD/MIS/SCSS/Others)
149,Others,DPOST,97,4,Savings Bank (SB/RD/TD/MIS/SCSS/Others)
150,Issuance Issues,DPOST,98,4,Sukanya Samriddhi
151,Payment Issues,DPOST,98,4,Sukanya Samriddhi
152,Claim Cases Related,DPOST,98,4,Sukanya Samriddhi
153,Tansfer Case Related,DPOST,98,4,Sukanya Samriddhi
154,Others,DPOST,98,4,Sukanya Samriddhi
155,Issuance Issues,DPOST,99,4,Senior Citizen Savings Scheme
156,Payment Issues,DPOST,99,4,Senior Citizen Savings Scheme
157,Claim Cases Related,DPOST,99,4,Senior Citizen Savings Scheme
158,Tansfer Case Related,DPOST,99,4,Senior Citizen Savings Scheme
159,Others,DPOST,99,4,Senior Citizen Savings Scheme
160,Issuance Issues,DPOST,100,4,Time Deposit
161,Payment Issues,DPOST,100,4,Time Deposit
162,Claim Cases Related,DPOST,100,4,Time Deposit
163,Tansfer Case Related,DPOST,100,4,Time Deposit
164,Others,DPOST,100,4,Time Deposit
165,ATM Card Blocking,DPOST,101,4,ATM Card Related
166,PIN Issue/Re-issue of Debit Card,DPOST,101,4,ATM Card Related
167,Payment of Wages to MNREGA workers,DPOST,102,4,MNREGA Account
168,Others,DPOST,102,4,MNREGA Account
169,Encashment of Certificates at office of issue,DPOST,103,4,National Savings Certificate VIII or IX
170,Encashment of Certificates at other office,DPOST,103,4,National Savings Certificate VIII or IX
171,Issue of Certificates,DPOST,103,4,National Savings Certificate VIII or IX
172,Issue of Dublicate Certificates Application given at office of issue,DPOST,103,4,National Savings Certificate VIII or IX
173,Issue of Dublicate Certificates Application given at other office,DPOST,103,4,National Savings Certificate VIII or IX
174,Transfer of Certificates Application given at Other Post Office,DPOST,103,4,National Savings Certificate VIII or IX
175,Transfer of Certificates Application given at Post Office of Registration,DPOST,103,4,National Savings Certificate VIII or IX
176,Others,DPOST,103,4,National Savings Certificate VIII or IX
177,Encashment of Certificates at office of issue,DPOST,104,4,Kisan Vikas Patra
178,Encashment of Certificates at other office,DPOST,104,4,Kisan Vikas Patra
179,Issue of Certificates,DPOST,104,4,Kisan Vikas Patra
180,Issue of Dublicate Certificates Application given at office of issue,DPOST,104,4,Kisan Vikas Patra
181,Issue of Dublicate Certificates Application given at other office,DPOST,104,4,Kisan Vikas Patra
182,Transfer of Certificates Application given at Other Post Office,DPOST,104,4,Kisan Vikas Patra
183,Transfer of Certificates Application given at Post Office of Registration,DPOST,104,4,Kisan Vikas Patra
184,Others,DPOST,104,4,Kisan Vikas Patra
185,Non-encashement,DPOST,105,4,Indian Postal Order (IPO) Related
186,Extension of Validity,DPOST,105,4,Indian Postal Order (IPO) Related
187,Non-Availability,DPOST,105,4,Indian Postal Order (IPO) Related
188,Postal Life Insurance,DPOST,65,3,Insurance Related
189,Rural Postal Life Insurance,DPOST,65,3,Insurance Related
190,Change of Address,DPOST,188,4,Postal Life Insurance
191,Change of Nomination,DPOST,188,4,Postal Life Insurance
192,Conversion of Policy,DPOST,188,4,Postal Life Insurance
193,Delay/ non-receipt of acceptance letter/PR book/Policy bond,DPOST,188,4,Postal Life Insurance
194,Issue of acceptance passbook,DPOST,188,4,Postal Life Insurance
195,Issue of policy bond,DPOST,188,4,Postal Life Insurance
196,Loan of policies,DPOST,188,4,Postal Life Insurance
197,Non-conversion/Delay in conversion,DPOST,188,4,Postal Life Insurance
198,Non-payment/Delay in payment of death claim,DPOST,188,4,Postal Life Insurance
199,Non-payment/Delay in payment of loan amount,DPOST,188,4,Postal Life Insurance
200,Non-payment/Delay in payment of maturity value,DPOST,188,4,Postal Life Insurance
201,Non-payment/Delay in payment of surrender value,DPOST,188,4,Postal Life Insurance
202,Non-payment/Delay in payment of survival benefits,DPOST,188,4,Postal Life Insurance
203,Non-revival/Delay in revival,DPOST,188,4,Postal Life Insurance
204,Non-transfer/Delay in transfer,DPOST,188,4,Postal Life Insurance
205,Paid up Value,DPOST,188,4,Postal Life Insurance
206,Revival of Policy,DPOST,188,4,Postal Life Insurance
207,Settlement of claim on death with nomination,DPOST,188,4,Postal Life Insurance
208,Settlement of claim on maturity,DPOST,188,4,Postal Life Insurance
209,Others,DPOST,188,4,Postal Life Insurance
210,Change of Address,DPOST,189,4,Rural Postal Life Insurance
211,Change of Nomination,DPOST,189,4,Rural Postal Life Insurance
212,Conversion of Policy,DPOST,189,4,Rural Postal Life Insurance
213,Delay/ non-receipt of acceptance letter/PR book/Policy bond,DPOST,189,4,Rural Postal Life Insurance
214,Issue of acceptance passbook,DPOST,189,4,Rural Postal Life Insurance
215,Issue of policy bond,DPOST,189,4,Rural Postal Life Insurance
216,Loan of policies,DPOST,189,4,Rural Postal Life Insurance
217,Non-conversion/Delay in conversion,DPOST,189,4,Rural Postal Life Insurance
218,Non-payment/Delay in payment of death claim,DPOST,189,4,Rural Postal Life Insurance
219,Non-payment/Delay in payment of loan amount,DPOST,189,4,Rural Postal Life Insurance
220,Non-payment/Delay in payment of maturity value,DPOST,189,4,Rural Postal Life Insurance
221,Non-payment/Delay in payment of surrender value,DPOST,189,4,Rural Postal Life Insurance
222,Non-payment/Delay in payment of survival benefits,DPOST,189,4,Rural Postal Life Insurance
223,Non-revival/Delay in revival,DPOST,189,4,Rural Postal Life Insurance
224,Non-transfer/Delay in transfer,DPOST,189,4,Rural Postal Life Insurance
225,Paid up Value,DPOST,189,4,Rural Postal Life Insurance
226,Revival of Policy,DPOST,189,4,Rural Postal Life Insurance
227,Settlement of claim on death with nomination,DPOST,189,4,Rural Postal Life Insurance
228,Settlement of claim on maturity,DPOST,189,4,Rural Postal Life Insurance
229,Others,DPOST,189,4,Rural Postal Life Insurance
230,PF/ Gratuity,DPOST,66,3,Employees Service Related
231,Compassionate appointment,DPOST,66,3,Employees Service Related
232,Removed/Retrenched employee,DPOST,66,3,Employees Service Related
233,GDS matters,DPOST,66,3,Employees Service Related
234,Departmental exams,DPOST,66,3,Employees Service Related
235,Recruitment/Exam related issues,DPOST,66,3,Employees Service Related
236,Others,DPOST,66,3,Employees Service Related
237,Allegation of  corruption,DPOST,67,3,Allegation of Corruption/ Malpractices/Harassment
238,Misbehavior of staff,DPOST,67,3,Allegation of Corruption/ Malpractices/Harassment
239,Others,DPOST,67,3,Allegation of Corruption/ Malpractices/Harassment
240,Minorities,DPOST,68,3,Atrocities Against
241,Women,DPOST,68,3,Atrocities Against
242,SC/ST/OBC,DPOST,68,3,Atrocities Against
243,Differently Abled,DPOST,68,3,Atrocities Against
244,Others,DPOST,68,3,Atrocities Against
245,Gaps in service,DPOST,69,3,Aadhar and Post Office Passport Seva Kendra (POPSK) Related
246,Gaps in service,DPOST,70,3,E-commerce portal Related
247,Policy matters,DPOST,71,3,Philately Related
248,Gaps in service,DPOST,72,3,ePost Office Related
249,Increase of Rent,DPOST,73,3,Land Related
250,Vacation of Building,DPOST,73,3,Land Related
251,Banking,DEABD,,1,#N/A
252,Bank Locker Related,DEABD,251,2,Banking
253,Deficiency in Customer Service Related,DEABD,251,2,Banking
254,Education Loans Related,DEABD,251,2,Banking
255,Housing Loan Related,DEABD,251,2,Banking
256,Non Banking Finance Company (NBFC) other than Housing Finance Companies Related,DEABD,251,2,Banking
257,Pradhan Mantri Jan Dhan Yojna (PMJDY) Related,DEABD,251,2,Banking
258,Pradhan Mantri Mudra Yojana (PMMY) Related,DEABD,251,2,Banking
259,Agricultural Matters Related,DEABD,251,2,Banking
260,Credit/Debit/ATM Cards Related,DEABD,251,2,Banking
261,Service Charges Related,DEABD,251,2,Banking
262,Government sponsored Schemes Related,DEABD,251,2,Banking
263,Fraud,DEABD,251,2,Banking
264,Mobile Banking,DEABD,251,2,Banking
265,Misappropriation,DEABD,251,2,Banking
266,Misbehaviour/Harrassment/Corruption by Bank Staff,DEABD,251,2,Banking
267,One Time Settlement of Loan,DEABD,251,2,Banking
268,Opening of New Branches,DEABD,251,2,Banking
269,Pradhan Mantri Jeevan Jyoti Yojna,DEABD,251,2,Banking
270,Pradhan Mantri Jeevan Suraksha Yojana,DEABD,251,2,Banking
271,Recruitment Related,DEABD,251,2,Banking
272,Service Matter Related,DEABD,251,2,Banking
273,Pension/Retirement Benefits Related,DEABD,251,2,Banking
274,Stand Up India Related,DEABD,251,2,Banking
275,Vacation of Premises,DEABD,251,2,Banking
276,Miscellaneous/Others,DEABD,251,2,Banking
277,Non-availability of locker,DEABD,252,3,Bank Locker Related
278,Demand of Fixed Deposit,DEABD,252,3,Bank Locker Related
279,Problem in Locker operation,DEABD,252,3,Bank Locker Related
280,Unauthorised break opening of locker,DEABD,252,3,Bank Locker Related
281,Others,DEABD,252,3,Bank Locker Related
282,Acceptance of Cash,DEABD,253,3,Deficiency in Customer Service Related
283,Issue/Payment of Draft/Banker Cheque,DEABD,253,3,Deficiency in Customer Service Related
284,Delay in Service,DEABD,253,3,Deficiency in Customer Service Related
285,Non-adherance to timing of opening/closing of Branch,DEABD,253,3,Deficiency in Customer Service Related
286,Frequent Failure of Banks server,DEABD,253,3,Deficiency in Customer Service Related
287,Non-opening/delay in opening of new accounts,DEABD,253,3,Deficiency in Customer Service Related
288,Non settlement/delay in settlement of Deceased Account,DEABD,253,3,Deficiency in Customer Service Related
289,Non-transfer/Delay in transfer of accounts from one office to another,DEABD,253,3,Deficiency in Customer Service Related
290,Non-payment/Delay in payment of Fixed/Term Deposit,DEABD,253,3,Deficiency in Customer Service Related
291,Others,DEABD,253,3,Deficiency in Customer Service Related
292,Non-sanctioning of Loan,DEABD,254,3,Education Loans Related
293,Delay in sanction of Loan,DEABD,254,3,Education Loans Related
294,Demand of Collateral Security,DEABD,254,3,Education Loans Related
295,Others,DEABD,254,3,Education Loans Related
296,Short Sanctioning of Loan,DEABD,254,3,Education Loans Related
297,Non-receipt of Subsidy,DEABD,254,3,Education Loans Related
298,Related to Banks,DEABD,255,3,Housing Loan Related
299,Related to Housing Finance Companies,DEABD,255,3,Housing Loan Related
300,Non-sanctioning of Loan,DEABD,298,4,Related to Banks
301,Demand of Collateral Security,DEABD,298,4,Related to Banks
302,Short Sanctioning of Loan,DEABD,298,4,Related to Banks
303,Non-receipt of Subsidy,DEABD,298,4,Related to Banks
304,Processing Charges related,DEABD,298,4,Related to Banks
305,Others,DEABD,298,4,Related to Banks
306,Delay/Non-opening of Account,DEABD,257,3,Pradhan Mantri Jan Dhan Yojna (PMJDY) Related
307,Delay in Settlement of Death Claim,DEABD,257,3,Pradhan Mantri Jan Dhan Yojna (PMJDY) Related
308,Levy of Service Charges,DEABD,257,3,Pradhan Mantri Jan Dhan Yojna (PMJDY) Related
309,Non-issue of Rupay/ATM card,DEABD,257,3,Pradhan Mantri Jan Dhan Yojna (PMJDY) Related
310,Non-sanctioning of OD Limit,DEABD,257,3,Pradhan Mantri Jan Dhan Yojna (PMJDY) Related
311,Others,DEABD,257,3,Pradhan Mantri Jan Dhan Yojna (PMJDY) Related
312,Delay / Non-sanctioning of Loan,DEABD,258,3,Pradhan Mantri Mudra Yojana (PMMY) Related
313,Demand of Coollateral Security,DEABD,258,3,Pradhan Mantri Mudra Yojana (PMMY) Related
314,Others,DEABD,258,3,Pradhan Mantri Mudra Yojana (PMMY) Related
315,Delay/Non-sanctioning of Loan,DEABD,259,3,Agricultural Matters Related
316,Waiver of Agricultural Loan,DEABD,259,3,Agricultural Matters Related
317,Fasal Bima Yojana Related,DEABD,259,3,Agricultural Matters Related
318,Others,DEABD,259,3,Agricultural Matters Related
319,Delay/Non-reversal of failed transactions,DEABD,260,3,Credit/Debit/ATM Cards Related
320,Non-functioning of ATM,DEABD,260,3,Credit/Debit/ATM Cards Related
321,Levy of Service Charges,DEABD,260,3,Credit/Debit/ATM Cards Related
322,Levy of Penal Interest,DEABD,260,3,Credit/Debit/ATM Cards Related
323,Non-issuance of Credit/Debit/ATM cards,DEABD,260,3,Credit/Debit/ATM Cards Related
324,ATM/Credit Card Frauds,DEABD,260,3,Credit/Debit/ATM Cards Related
325,Non-issuance of ATM pin,DEABD,260,3,Credit/Debit/ATM Cards Related
326,Others,DEABD,260,3,Credit/Debit/ATM Cards Related
327,Non-maintenance of Minimum Balance,DEABD,261,3,Service Charges Related
328,Loan processing Charges,DEABD,261,3,Service Charges Related
329,Annual Maintenance charges on Credit/Debit/ATM cards,DEABD,261,3,Service Charges Related
330,Others,DEABD,261,3,Service Charges Related
331,Prime Minister Rojgar Yojana,DEABD,262,3,Government sponsored Schemes Related
332,State Government Employment Schemes,DEABD,262,3,Government sponsored Schemes Related
333,Prime Minister Awas Yojana,DEABD,262,3,Government sponsored Schemes Related
334,Others,DEABD,262,3,Government sponsored Schemes Related
335,Grievance against Bank,DEABD,269,3,Pradhan Mantri Jeevan Jyoti Yojna
336,Grievance against Insurance Company,DEABD,269,3,Pradhan Mantri Jeevan Jyoti Yojna
337,Grievance against Bank,DEABD,270,3,Pradhan Mantri Jeevan Suraksha Yojana
338,Grievance against Insurance Company,DEABD,270,3,Pradhan Mantri Jeevan Suraksha Yojana
339,Non-commencement of Pesnion/Family Pension,DEABD,273,3,Pension/Retirement Benefits Related
340,Non-submission of Life Certificate,DEABD,273,3,Pension/Retirement Benefits Related
341,Non-payment of revised pension/arrears,DEABD,273,3,Pension/Retirement Benefits Related
342,Non-sanction of Pension Loan,DEABD,273,3,Pension/Retirement Benefits Related
343,Delay/Non-transfer of pension Account,DEABD,273,3,Pension/Retirement Benefits Related
344,Non-restoration of Commuted Pension,DEABD,273,3,Pension/Retirement Benefits Related
345,Less payment of Pension,DEABD,273,3,Pension/Retirement Benefits Related
346,Excess Recovery of Pension,DEABD,273,3,Pension/Retirement Benefits Related
347,Others,DEABD,273,3,Pension/Retirement Benefits Related
348,Delay/Non-sanctioning of Loan,DEABD,274,3,Stand Up India Related
349,Demand of Collateral Security,DEABD,274,3,Stand Up India Related
350,Others,DEABD,274,3,Stand Up India Related
351,Non-renewal of Lease Agreement,DEABD,275,3,Vacation of Premises
352,Non-vacation of premises,DEABD,275,3,Vacation of Premises
353,Insurance,DEAID,,1,#N/A
354,Allegation on Corruption/Malpractice,DEAID,353,2,Insurance
355,Deficiency in Customer Service Related,DEAID,353,2,Insurance
356,Fraud,DEAID,353,2,Insurance
357,Agents and Surveyors Related,DEAID,353,2,Insurance
358,Misrepresentation by Agents,DEAID,353,2,Insurance
359,Non-settlement/Delay in Settlement/Less Settlement of Claims,DEAID,353,2,Insurance
360,Pradhan Mantri Vaya Vandana Yojana,DEAID,353,2,Insurance
361,Pradhan Mantri Suraksha Bima Yojna,DEAID,353,2,Insurance
362,Pradhan Mantri Jeevan Jyoti Bima Yojana,DEAID,353,2,Insurance
363,Service Matters Related,DEAID,353,2,Insurance
364,Pension/Retirement Benefits Related,DEAID,353,2,Insurance
365,Miscellaneous/Others,DEAID,353,2,Insurance
366,Non-payment/Delay in payment of Compensations/Refunds,DEAID,355,3,Deficiency in Customer Service Related
367,Delay in transfer of Policy,DEAID,355,3,Deficiency in Customer Service Related
368,Haraasment/Misbehaviour/Non-response from Staff,DEAID,355,3,Deficiency in Customer Service Related
369,Non receipt of policy bond,DEAID,355,3,Deficiency in Customer Service Related
370,Others,DEAID,355,3,Deficiency in Customer Service Related
371,Non-renewal of licence,DEAID,357,3,Agents and Surveyors Related
372,Non-payment of gratuity,DEAID,357,3,Agents and Surveyors Related
373,Non-payment/delay in payment of Commission,DEAID,357,3,Agents and Surveyors Related
374,Others,DEAID,357,3,Agents and Surveyors Related
375,Payment received from the customer but not deposited or deposited with delay in Insurance Company,DEAID,358,3,Misrepresentation by Agents
376,Mis-selling of Policy,DEAID,358,3,Misrepresentation by Agents
377,Others,DEAID,358,3,Misrepresentation by Agents
378,Life Insurance Claim,DEAID,359,3,Non-settlement/Delay in Settlement/Less Settlement of Claims
379,Non-life/General Insurance Claim,DEAID,359,3,Non-settlement/Delay in Settlement/Less Settlement of Claims
380,Non-payment of penal interest of dealyed period,DEAID,359,3,Non-settlement/Delay in Settlement/Less Settlement of Claims
381,Annuity Claim,DEAID,359,3,Non-settlement/Delay in Settlement/Less Settlement of Claims
382,Accidental Claim,DEAID,359,3,Non-settlement/Delay in Settlement/Less Settlement of Claims
383,Fasal Bima Yojana Related,DEAID,359,3,Non-settlement/Delay in Settlement/Less Settlement of Claims
384,Others,DEAID,359,3,Non-settlement/Delay in Settlement/Less Settlement of Claims
385,Grievance against Bank,DEAID,361,3,Pradhan Mantri Suraksha Bima Yojna
386,Grievance against Insurance Company,DEAID,361,3,Pradhan Mantri Suraksha Bima Yojna
387,Grievance against Bank,DEAID,362,3,Pradhan Mantri Jeevan Jyoti Bima Yojana
388,Grievance against Insurance Company,DEAID,362,3,Pradhan Mantri Jeevan Jyoti Bima Yojana
389,Non-commencement of Pesnion/Family Pension,DEAID,364,3,Pension/Retirement Benefits Related
390,Non-submission of Life Certificate,DEAID,364,3,Pension/Retirement Benefits Related
391,Non-payment of revised pension/arrears,DEAID,364,3,Pension/Retirement Benefits Related
392,Non-sanction of Pension Loan,DEAID,364,3,Pension/Retirement Benefits Related
393,Delay/Non-transfer of pension Account,DEAID,364,3,Pension/Retirement Benefits Related
394,Non-restoration of Commuted Pension,DEAID,364,3,Pension/Retirement Benefits Related
395,Less payment of Pension,DEAID,364,3,Pension/Retirement Benefits Related
396,Excess Recovery of Pension,DEAID,364,3,Pension/Retirement Benefits Related
397,Others,DEAID,364,3,Pension/Retirement Benefits Related
398,School Education,DOSEL,,1,#N/A
399,Admission Related,DOSEL,398,2,School Education
400,Service Matter/Pension Related,DOSEL,398,2,School Education
401,Entrance Exam and Results Related,DOSEL,398,2,School Education
402,Degree/Certificate Related,DOSEL,398,2,School Education
403,Mid Day Meal Related,DOSEL,398,2,School Education
404,National Award for Teachers (NAT) Related,DOSEL,398,2,School Education
405,National Bal Bhawan (NBB) Related,DOSEL,398,2,School Education
406,National Foundation for Teacher Welfare (NFTW) Related,DOSEL,398,2,School Education
407,Health & Nutrition Related,DOSEL,398,2,School Education
